Ticker symbol,Security,GICS Sector,GICS Sub Industry,Location,Date first added[3][4],CIK,Founded
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017
TRIP,TripAdvisor,Communication Services,Internet & Direct Marketing Retail,"Newton, Massachusetts",12/21/11,1526520,
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",8/21/02,86312,
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/14,916365,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",1/2/08,721683,
TTWO,Take-Two Interactive,Communication Services,Home Entertainment Software,"New York, New York",3/19/18,946581,
TWTR,"Twitter, Inc.",Communication Services,Internet Software & Services,"San Francisco, California",6/7/18,1418091,2006
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/78,217346,
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/14,1336917,
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",3/25/16,1336917,
UAL,United Continental Holdings,Industrials,Airlines,"Chicago, Illinois",9/3/15,100517,
UDR,UDR Inc,Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/16,74208,
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915,
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/16,1403568,
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/94,731766,
UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/94,5513,
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",,100885,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/02,1090727,
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701,
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
UTX,United Technologies,Industrials,Aerospace & Defense,"Hartford, Connecticut",,101829,
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",12/21/09,1403161,
VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",2/12/07,203527,
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/79,103379,
VIAB,Viacom Inc.,Communication Services,Cable & Satellite,"New York, New York",,1339947,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",6/30/99,1396009,
VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,899689,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145,
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",2/1/06,1014473,
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/13,875320,
VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/09,740260,
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",11/30/83,732712,
WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/79,1618921,
WCG,WellCare Health Plans,Health Care,Managed Health Care,"Tampa, Florida",1985,1279363,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",7/1/09,106040,
WEC,Wec Energy Group Inc,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325,
WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/09,766704,
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",6/30/76,72971,
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
WLTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",1/5/16,1140536,
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
WMB,Williams Cos.,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,107263,
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/82,104169,
WRK,WestRock,Materials,Paper Packaging,"Richmond, Virginia",,1636023,
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135,1851
WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",,106535,
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/08,1174922,
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/14,1168054,
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903,1909
XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",11/8/99,743988,
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,1999
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/08,818479,
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,1906
XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",11/1/11,1524472,
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/97,1041061,
ZBH,Zimmer Biomet Holdings,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/01,1136869,
ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",6/22/01,109380,
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",6/21/13,1555280,
